name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	20.5693219115399
E2	7.94136	-5.334	0.2371	25.3232490858697
E3	8.61151	-4.257	2.77296	31.8642532149676
E4	8.04222	-2.68245	5.31354	35.0461568897437
E5	6.33091	-1.63804	7.00984	25.6083964262047
E6	3.89585	-0	8.14682	36.4350116830392
E7	1.74142	1.41305	8.45875	15.6531293412556
E8	9.34083	-4.09179	-1.72351	22.5672683666707
E9	9.82549	-3.3556	0.750687	20.828578210703
E10	9.61435	-2.39622	3.5151	22.7086054168958
E11	8.60698	-0	5.88719	25.9913886271053
E12	6.33091	1.63804	7.00984	23.0913079836897
E13	3.66109	2.67447	7.65927	22.0654235895047
E14	10.609	-1.984	-1.23837	13.708692826437
E15	10.6507	-1.21058	1.24742	13.5199390280663
E16	10.1982	-0	3.52745	15.351665423948
E17	10.5352	-0	-2.71023	16.4901277810092
E18	10.6507	1.21058	1.24742	14.5027727869111
E19	9.61435	2.39622	3.5151	21.3944886296435
E20	8.04222	2.68245	5.31354	16.1709274740243
E21	5.67672	3.7358	6.23543	14.0985391117557
E22	10.609	1.984	-1.23837	16.2457790470876
E23	9.82549	3.3556	0.750687	17.647625235727
E24	8.61151	4.257	2.77296	17.4549666777982
E25	6.94583	4.72647	4.29259	21.6991390667394
E26	9.34083	4.09179	-1.72351	22.3716956587011
E27	7.94136	5.334	0.2371	23.2805769447023
E28	6.37719	5.88862	2.05983	21.794303815434
E29	4.58172	6.08477	4.04119	13.8169386216276
E30	3.01496	5.17735	6.17561	15.9488268038626
E31	0.976844000000001	3.90573	7.58964	27.1689698813536
E32	-1.22344	2.28818	8.35468	31.3242753725582
E33	7.05836	5.56273	-2.13833	32.7627462994717
E34	5.66018	6.28567	-0.325478	22.6395505841031
E35	3.71219	6.93929	1.96627	19.4054617822214
E36	2.25109	6.96513	3.83809	21.0279259755858
E37	0.279191000000001	6.20327	5.88833	15.6125867617361
E38	-1.83783	4.74906	7.20099	63.132080840889
E39	4.49436	6.56444	-3.36122	29.162655707693
E40	2.65809	7.18868	-0.876653	23.4055445110999
E41	1.34926	7.57948	1.26836	16.2965533283334
E42	-0.164728000000003	7.53633	2.96011	18.2015203198905
E43	-2.56096	6.50984	5.22143	61.1114539747006
E44	3.02934	6.57111	-6.21266	47.7957576906411
E45	1.52278	7.03162	-3.42515	30.757705684216
E46	0.234217000000001	7.56327	-1.09244	19.9718484855446
E47	-1.46741	7.60231	1.03584	14.7489953287309
E48	-2.81422	7.31578	2.60868	34.8351544791506
E49	0.835981000000001	6.85902	-6.60769	63.8040196380687
E50	-2.88101	7.34918	-1.38637	30.7182266685445
E51	-3.97624	7.07415	0.553357	19.53194150888
E52	-4.94704	6.50248	3.10276	21.6051229561231
E53	-4.82594	5.07956	5.55724	17.6968044420449
E54	-4.19736	2.51032	7.58563	27.530563539435
E55	-3.20127	-3.92042505870645e-16	8.28249	15.8683104455086
E56	-3.59608	6.17315	-6.94128	39.2898216839803
E57	-4.02463	6.90343	-3.54669	37.1525311741179
E58	-5.20816	6.47645	-1.59903	57.5106278212611
E59	-6.31619	5.9853	0.766718	27.1539565168454
E60	-6.89084	4.81515	3.53716	14.9519625064216
E61	-6.50084	2.75579	5.69942	27.5911370858495
E62	-5.62431	-6.88779323891245e-16	7.10652	18.1128300799305
E63	-5.02163	5.39665	-6.61401	91.04715738113
E64	-6.14775	5.86075	-3.4408	49.8772309090664
E65	-7.5274	4.9121	-1.54431	17.6691005955281
E66	-8.41313	3.9387	0.986116	23.8162350910624
E67	-8.20562	2.51978	3.5441	17.1002408727533
E68	-7.23943	-8.86574477715132e-16	5.62067	21.0606946003417
E69	-6.94455	4.02983	-6.30024	20.4584822116594
E70	-8.3235	3.70296	-3.37134	17.3598849903365
E71	-9.16834	2.84669000000001	-1.3147	16.3198585437728
E72	-9.32289	1.99322	1.02896	18.5309465436558
E73	-8.85649	-1.08460721301805e-15	2.83601	26.1883423627992
E74	-8.43156	2.17486	-6.40705	15.5660352962851
E75	-9.09985	2.09545	-3.99044	17.6801642283329
E76	-9.70481	-1.18849645028332e-15	-0.946568	33.4498732594982
E77	-9.32289	-1.99322	1.02896	18.8380908082308
E78	-8.20562	-2.51978	3.5441	18.2300951115773
E79	-6.50084	-2.75579	5.69942	16.6169070661189
E80	-4.19736	-2.51032	7.58563	30.7642120073276
E81	-1.22344	-2.28818	8.35468	26.7412303709232
E82	-8.93823	-1.09461747595428e-15	-6.11277	18.3628456557092
E83	-9.10442	-2.09545	-3.65547	17.8144757864339
E84	-9.16834	-2.84669000000001	-1.3147	26.2115697924323
E85	-8.41313	-3.9387	0.986116	18.0671083709519
E86	-6.89084	-4.81515	3.53716	19.5678280851904
E87	-4.82594	-5.07956	5.55724	20.1649798324986
E88	-1.83783	-4.74906	7.20099	28.8912379621853
E89	-8.43156	-2.17486	-6.40705	20.3127906311499
E90	-8.3235	-3.70296	-3.37134	22.22951062172
E91	-7.5274	-4.9121	-1.54431	21.6560515903166
E92	-6.31619	-5.9853	0.766718	22.2574527173569
E93	-4.94704	-6.50248	3.10276	26.0501427607965
E94	-2.56096	-6.50984	5.22143	20.4782812378689
E95	-6.94455	-4.02983	-6.30024	25.7752942402894
E96	-6.14775	-5.86075	-3.4408	23.2905166480046
E97	-5.20816	-6.47645	-1.59903	49.2975962399337
E98	-3.97624	-7.07415	0.553357	30.5744096465466
E99	-2.81422	-7.31578	2.60868	45.4659510181151
E100	-5.02163	-5.39665	-6.61401	45.5319442245857
E101	-4.01898	-6.90343	-3.96056	136.382357119362
E102	-2.88101	-7.34918	-1.38637	30.9012547180006
E103	-1.46741	-7.60231	1.03584	36.8215092743713
E104	-0.553802000000002	-7.53633	2.9548	43.6629196458265
E105	0.279191000000001	-6.20327	5.88833	31.0128988595
E106	0.976844000000001	-3.90573	7.58964	17.1860649110221
E107	1.74142	-1.41305	8.45875	70.8082827581208
E108	-3.59608	-6.17315	-6.94128	17.7299768966094
E109	0.234217000000001	-7.56327	-1.09244	27.9568570946472
E110	1.34926	-7.57948	1.26836	33.2655836524363
E111	2.25109	-6.96513	3.83809	42.2771501877266
E112	3.01496	-5.17735	6.17561	36.6668631491286
E113	3.66109	-2.67447	7.65927	63.0297612088238
E114	0.835981000000001	-6.85902	-6.60769	36.4139267034986
E115	1.52278	-7.03162	-3.42515	14.3682278800376
E116	2.65809	-7.18868	-0.876653	30.9268653126495
E117	3.71219	-6.93929	1.96627	25.1192039619173
E118	4.58172	-6.08477	4.04119	24.0036897386507
E119	5.67672	-3.7358	6.23543	398.642544347459
E120	3.02934	-6.57111	-6.21266	33.3207869201587
E121	4.49436	-6.56444	-3.36122	22.2435707336476
E122	5.66018	-6.28567	-0.325478	20.101417086213
E123	6.37719	-5.88862	2.05983	27.7611186105993
E124	6.94583	-4.72647	4.29259	17.6341720784687
E125	5.54263	-5.99993	-5.73733	23.5630222828667
E126	7.17773	-3.34246	-8.08502	34.8496283446963
E127	7.17773	3.34246	-8.08502	58.9005681035095
E128	5.54263	5.99993	-5.73733	57.5492307813724
Cz	5.22390849554891e-16	0	8.53129	13.4822207229368
